"CView Export Data File: Version 2.0"
"Export From File: d:\phd data old desktop\new paper writing\main paper\pd14 - gf al, inc. current then inc. time, slower ramp 'zig-zag', fourth (best) attempt\electrochem - june 9\pd14-gc2.txt"


  Open Circuit Potential (V): 0.505
"Time (Sec)"	"E (Volts)"
0	0.826
1	2.047
2	2.6
3	2.695
4	2.75
5	2.79
6	2.82
7	2.85
8	2.88
9	2.905
10	2.93
11	2.95
12	2.97
13	2.99
14	3.01
15	3.03
16	3.05
17	3.07
18	3.085
19	3.1
20	3.12
21	3.135
22	3.15
23	3.165
24	3.18
25	3.195
26	3.21
27	3.225
28	3.24
29	3.25
30	3.265
31	3.28
32	3.29
33	3.305
34	3.315
35	3.33
36	3.34
37	3.35
38	3.365
39	3.375
40	3.39
41	3.4
42	3.41
43	3.425
44	3.435
45	3.445
46	3.455
47	3.47
48	3.48
49	3.49
50	3.5
51	3.51
52	3.515
53	3.53
54	3.535
55	3.545
56	3.55
57	3.56
58	3.57
59	3.575
60	3.585
61	3.59
62	3.6
63	3.605
64	3.61
65	3.615
66	3.62
67	3.62
68	3.625
69	3.625
70	3.63
71	3.63
72	3.63
73	3.63
74	3.63
75	3.63
76	3.63
77	3.63
78	3.63
79	3.63
80	3.63
81	3.63
82	3.63
83	3.63
84	3.63
85	3.625
86	3.625
87	3.625
88	3.625
89	3.625
90	3.62
91	3.62
92	3.62
93	3.62
94	3.62
95	3.615
96	3.615
97	3.615
98	3.615
99	3.615
100	3.61
101	3.61
102	3.61
103	3.61
104	3.61
105	3.61
106	3.61
107	3.605
108	3.605
109	3.605
110	3.605
111	3.6
112	3.6
113	3.6
114	3.6
115	3.6
116	3.6
117	3.595
118	3.595
119	3.595
120	3.595
121	3.59
122	3.59
123	3.59
124	3.59
125	3.59
126	3.59
127	3.59
128	3.585
129	3.585
130	3.585
131	3.585
132	3.585
133	3.58
134	3.58
135	3.58
136	3.58
137	3.58
138	3.58
139	3.58
140	3.58
141	3.575
142	3.575
143	3.575
144	3.575
145	3.575
146	3.575
147	3.57
148	3.57
149	3.57
150	3.57
151	3.57
152	3.57
153	3.57
154	3.57
155	3.57
156	3.57
157	3.565
158	3.565
159	3.565
160	3.565
161	3.565
162	3.565
163	3.565
164	3.56
165	3.56
166	3.56
167	3.56
168	3.56
169	3.56
170	3.56
171	3.555
172	3.555
173	3.555
174	3.555
175	3.555
176	3.555
177	3.555
178	3.555
179	3.55
180	3.55
181	3.55
182	3.55
183	3.55
184	3.55
185	3.55
186	3.55
187	3.55
188	3.55
189	3.545
190	3.545
191	3.545
192	3.545
193	3.545
194	3.545
195	3.545
196	3.545
197	3.54
198	3.54
199	3.54
200	3.54
201	3.54
202	3.54
203	3.54
204	3.54
205	3.54
206	3.535
207	3.535
208	3.535
209	3.535
210	3.535
211	3.535
212	3.535
213	3.535
214	3.535
215	3.535
216	3.535
217	3.53
218	3.53
219	3.53
220	3.53
221	3.53
222	3.53
223	3.53
224	3.53
225	3.53
226	3.53
227	3.53
228	3.53
229	3.53
230	3.53
231	3.525
232	3.525
233	3.525
234	3.525
235	3.525
236	3.525
237	3.525
238	3.525
239	3.52
240	3.52
241	3.52
242	3.52
243	3.52
244	3.52
245	3.52
246	3.52
247	3.52
248	3.52
249	3.52
250	3.52
251	3.52
252	3.52
253	3.52
254	3.515
255	3.515
256	3.515
257	3.515
258	3.515
259	3.515
260	3.515
261	3.515
262	3.515
263	3.515
264	3.515
265	3.515
266	3.51
267	3.51
268	3.51
269	3.51
270	3.51
271	3.51
272	3.51
273	3.51
274	3.51
275	3.51
276	3.51
277	3.51
278	3.51
279	3.51
280	3.51
281	3.51
282	3.51
283	3.51
284	3.51
285	3.51
286	3.505
287	3.51
288	3.505
289	3.505
290	3.505
291	3.505
292	3.505
293	3.505
294	3.505
295	3.505
296	3.505
297	3.505
298	3.505
299	3.505
300	3.505
301	3.505
302	3.505
303	3.505
304	3.5
305	3.5
306	3.5
307	3.505
308	3.5
309	3.5
310	3.5
311	3.5
312	3.5
313	3.5
314	3.5
315	3.5
316	3.5
317	3.5
318	3.5
319	3.5
320	3.5
321	3.5
322	3.5
323	3.5
324	3.5
325	3.5
326	3.5
327	3.495
328	3.495
329	3.495
330	3.495
331	3.495
332	3.495
333	3.495
334	3.495
335	3.495
336	3.495
337	3.495
338	3.495
339	3.495
340	3.495
341	3.495
342	3.495
343	3.495
344	3.49
345	3.495
346	3.495
347	3.49
348	3.49
349	3.49
350	3.49
351	3.49
352	3.49
353	3.49
354	3.49
355	3.49
356	3.49
357	3.49
358	3.49
359	3.49
360	3.49
361	3.49
362	3.49
363	3.49
364	3.49
365	3.49
366	3.49
367	3.49
368	3.49
369	3.49
370	3.49
371	3.49
372	3.49
373	3.49
374	3.49
375	3.49
376	3.49
377	3.49
378	3.49
379	3.49
380	3.49
381	3.49
382	3.49
383	3.49
384	3.485
385	3.485
386	3.485
387	3.485
388	3.485
