"CView Export Data File: Version 2.0"
"Export From File: c:\users\mikehome\appdata\local\programs\python\python36-32\lipf6-ppc-bare_al_no_clean-galvcyc-5-corr.txt"
  lithium intercalation bare Al without plasma clean AL30

  Open Circuit Potential (V): -1.935
"Time (Sec)"	"E (Volts)"
0	0.26
0.2	0.25
0.4	0.24
0.6	0.23
0.8	0.22
1	0.21
1.2	0.2
1.6	0.19
2	0.18
2.4	0.17
3.4	0.17
3.8	0.18
4	0.185
4.2	0.195
4.4	0.2
4.6	0.21
4.8	0.22
5.2	0.23
5.4	0.24
5.8	0.25
6	0.26
6.4	0.27
7	0.28
7.4	0.29
8	0.3
9	0.31
9.8	0.32
10.8	0.325
11.8	0.33
12.6	0.34
13.6	0.345
14.6	0.345
15.6	0.35
16.6	0.355
17.6	0.355
18.6	0.36
19.6	0.36
20.6	0.365
21.6	0.37
22.6	0.37
23.6	0.37
24.6	0.375
25.6	0.375
26.6	0.375
27.6	0.38
28.6	0.38
29.6	0.38
30.6	0.38
31.6	0.38
32.6	0.385
33.6	0.385
34.6	0.385
35.6	0.385
36.6	0.385
37.6	0.385
38.6	0.39
39.6	0.39
40.6	0.39
41.6	0.39
42.6	0.39
43.6	0.395
44.6	0.395
45.6	0.395
46.6	0.395
47.6	0.395
48.6	0.395
49.6	0.395
50.6	0.4
51.6	0.4
52.6	0.4
53.6	0.4
54.6	0.4
55.6	0.4
56.6	0.4
57.6	0.4
58.6	0.4
59.6	0.4
60.6	0.4
61.6	0.4
62.6	0.4
63.6	0.405
64.6	0.4
65.6	0.405
66.6	0.405
67.6	0.405
68.6	0.405
69.6	0.405
70.6	0.405
71.6	0.405
72.6	0.405
73.6	0.405
74.6	0.405
75.6	0.405
76.6	0.405
77.6	0.405
78.6	0.405
79.6	0.405
80.6	0.41
81.6	0.41
82.6	0.41
83.6	0.41
84.6	0.41
85.6	0.41
86.6	0.41
87.6	0.41
88.6	0.41
89.6	0.41
90.6	0.41
91.6	0.41
92.6	0.41
93.6	0.41
94.6	0.41
95.6	0.41
96.6	0.41
97.6	0.41
98.6	0.41
99.6	0.41
100.6	0.41
101.6	0.41
102.6	0.41
103.6	0.41
104.6	0.41
105.6	0.41
106.6	0.41
107.6	0.41
108.6	0.41
109.6	0.41
110.6	0.415
111.6	0.41
112.6	0.415
113.6	0.415
114.6	0.415
115.6	0.415
116.6	0.415
117.6	0.415
118.6	0.415
119.6	0.415
120.6	0.415
121.6	0.415
122.6	0.415
123.6	0.415
124.6	0.415
125.6	0.415
126.6	0.415
127.6	0.415
128.6	0.415
129.6	0.415
130.6	0.415
131.6	0.415
132.6	0.415
133.6	0.415
134.6	0.415
135.6	0.42
136.6	0.415
137.6	0.415
138.6	0.415
139.6	0.42
140.6	0.415
141.6	0.42
142.6	0.415
143.6	0.42
144.6	0.42
145.6	0.42
146.6	0.42
147.6	0.42
148.6	0.42
149.6	0.42
150.6	0.42
151.6	0.42
152.6	0.42
153.6	0.42
154.6	0.42
155.6	0.42
156.6	0.42
157.6	0.42
158.6	0.42
159.6	0.42
160.6	0.42
161.6	0.42
162.6	0.42
163.6	0.42
164.6	0.42
165.6	0.42
166.6	0.42
167.6	0.42
168.6	0.42
169.6	0.42
170.6	0.42
171.6	0.42
172.6	0.42
173.6	0.42
174.6	0.42
175.6	0.42
176.6	0.42
177.6	0.42
178.6	0.42
179.6	0.42
180.6	0.42
181.6	0.42
182.6	0.42
183.6	0.42
184.6	0.42
185.6	0.42
186.6	0.42
187.6	0.42
188.6	0.42
189.6	0.42
190.6	0.42
191.6	0.42
192.6	0.42
193.6	0.42
194.6	0.42
195.6	0.42
196.6	0.42
197.6	0.42
198.6	0.42
199.6	0.42
200.6	0.42
201.6	0.42
202.6	0.42
203.6	0.42
204.6	0.42
205.6	0.42
206.6	0.42
207.6	0.42
208.6	0.42
209.6	0.42
210.6	0.42
211.6	0.42
212.6	0.42
213.6	0.42
214.6	0.42
215.6	0.42
216.6	0.42
217.6	0.42
218.6	0.42
219.6	0.42
220.6	0.42
221.6	0.42
222.6	0.42
223.6	0.42
224.6	0.42
225.6	0.42
226.6	0.42
227.6	0.42
228.6	0.42
229.6	0.42
230.6	0.42
231.6	0.42
232.6	0.42
233.6	0.42
234.6	0.42
235.6	0.42
236.6	0.42
237.6	0.42
238.6	0.42
239.6	0.42
240.6	0.42
241.6	0.425
242.6	0.42
243.6	0.42
244.6	0.42
245.6	0.42
246.6	0.42
247.6	0.42
248.6	0.42
249.6	0.42
250.6	0.425
251.6	0.42
252.6	0.42
253.6	0.42
254.6	0.425
255.6	0.425
256.6	0.42
257.6	0.42
258.6	0.42
259.6	0.42
260.6	0.425
261.6	0.42
262.6	0.42
263.6	0.42
264.6	0.42
265.6	0.42
266.6	0.42
267.6	0.42
268.6	0.42
269.6	0.42
270.6	0.42
271.6	0.42
272.6	0.42
273.6	0.42
274.6	0.42
275.6	0.42
276.6	0.42
277.6	0.42
278.6	0.42
279.6	0.42
280.6	0.42
281.6	0.42
282.6	0.42
283.6	0.42
284.6	0.42
285.6	0.42
286.6	0.42
287.6	0.42
288.6	0.42
289.6	0.425
290.6	0.425
291.6	0.42
292.6	0.42
293.6	0.42
294.6	0.42
295.6	0.42
296.6	0.42
297.6	0.42
298.6	0.42
299.6	0.42
300.6	0.42
301.6	0.42
302.6	0.42
303.6	0.42
304.6	0.425
305.6	0.42
306.6	0.42
307.6	0.42
308.6	0.42
309.6	0.42
310.6	0.42
311.6	0.42
312.6	0.42
313.6	0.42
314.6	0.42
315.6	0.42
316.6	0.42
317.6	0.42
318.6	0.425
319.6	0.425
320.6	0.42
321.6	0.42
322.6	0.42
323.6	0.425
324.6	0.42
325.6	0.42
326.6	0.42
327.6	0.42
328.6	0.42
329.6	0.42
330.6	0.42
331.6	0.42
332.6	0.42
333.6	0.42
334.6	0.42
335.6	0.42
336.6	0.42
337.6	0.42
338.6	0.42
339.6	0.42
340.6	0.42
341.6	0.42
342.6	0.42
343.6	0.42
344.6	0.42
345.6	0.42
346.6	0.42
347.6	0.42
348.6	0.42
349.6	0.42
350.6	0.42
351.6	0.42
352.6	0.42
353.6	0.42
354.6	0.42
355.6	0.42
356.6	0.42
357.6	0.42
358.6	0.42
359.6	0.42
360.6	0.42
361.6	0.42
362.6	0.42
363.6	0.42
364.6	0.42
365.6	0.42
366.6	0.42
367.6	0.42
368.6	0.42
369.6	0.42
370.6	0.42
371.6	0.42
372.6	0.42
373.6	0.42
374.6	0.42
375.6	0.42
376.6	0.42
377.6	0.42
378.6	0.42
379.6	0.42
380.6	0.42
381.6	0.42
382.6	0.42
383.6	0.42
384.6	0.42
385.6	0.42
386.6	0.42
387.6	0.42
388.6	0.42
389.6	0.42
390.6	0.42
391.6	0.42
392.6	0.42
393.6	0.42
394.6	0.42
395.6	0.42
396.6	0.42
397.6	0.42
398.6	0.42
399.6	0.42
400.6	0.42
401.6	0.42
402.6	0.42
403.6	0.42
404.6	0.42
405.6	0.42
406.6	0.42
407.6	0.42
408.6	0.42
409.6	0.42
410.6	0.42
411.6	0.42
412.6	0.42
413.6	0.42
414.6	0.42
415.6	0.42
416.6	0.42
417.6	0.42
418.6	0.42
419.6	0.42
420.6	0.42
421.6	0.42
422.6	0.42
423.6	0.42
424.6	0.42
